[11/21/17 05:15PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 05:18PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 05:21PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 11:21AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 11:32AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 11:32AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 11:36AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 11:37AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 11:50AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 11:50AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 12:09PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 12:10PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 12:10PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 12:10PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:00PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:00PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:02PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:02PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:08PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:12PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:12PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:13PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:13PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:15PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:15PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:20PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:21PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:21PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:22PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:29PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 01:38PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 03:44PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 03:44PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 03:44PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 03:54PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 03:55PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 04:52PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 05:05PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 11:12PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 11:22PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 11:23PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 11:25PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 11:28PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 11:29PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 11:29PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/22/17 11:31PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/23/17 12:04AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/23/17 12:09AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/23/17 12:09AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/23/17 12:09AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/23/17 12:10AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/23/17 12:11AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
